,Estimated HIV Prevalence% - (Ages 15-49),Continents,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
57,Czech Republic,No continent,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
58,Czechoslovakia,No continent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Denmark,EU,,,,0.011698226,,,,,,,,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2
60,Djibouti,AF,,,,,0.012392677,,,,,,,0.9,1.1,1.4,1.7,2.0,2.3,2.5,2.7,2.8,2.9,2.9,2.9,2.9,2.8,2.7,2.7,2.6,2.6,2.6,1.6,1.5,1.4
61,Dominica,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Dominican Republic,NA,0.056691281,,,,,,,,,,,0.4,0.5,0.6,0.7,0.8,0.9,0.9,1.0,1.0,1.0,1.0,0.9,0.9,0.9,0.9,0.9,0.9,0.8,0.9,0.8,0.7,0.7
63,East Germany,No continent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Ecuador,SA,0.013690696,,,,,,,,,,,0.3,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
65,Egypt,AF,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
66,El Salvador,NA,,,,,,,0.012269586,,,,,0.1,0.2,0.2,0.2,0.3,0.4,0.4,0.5,0.6,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.6,0.6,0.6
67,Equatorial Guinea,AF,0.082364934,,,,,,,,,,,0.1,0.2,0.2,0.3,0.3,0.4,0.6,0.7,0.9,1.2,1.5,1.9,2.3,2.7,3.2,3.6,4.0,4.4,4.7,4.2,4.4,4.7
68,Eritrea,AF,,,,,,,0.010873503,,,,,0.3,0.4,0.6,0.8,0.9,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.1,1.1,1.0,1.0,0.9,0.9,0.8,0.7,0.7,0.6
69,Eritrea and Ethiopia,No continent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Estonia,EU,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.1,0.1,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.9,1.0,1.1,1.1,1.2,1.2,1.2,1.3,1.3
71,Ethiopia,AF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,1.6,1.4
72,Faeroe Islands,No continent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Falkland Is (Malvinas),No continent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Fiji,OC,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.1,0.1,0.06,0.06,0.1
75,Finland,EU,,,,,0.010557622,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
76,France,EU,,,0.015708255,,,,,,,,,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
77,French Guiana,SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,French Polynesia,OC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Gabon,AF,0.042124436,,,,,,,,,,,0.9,1.2,1.6,2.0,2.6,3.1,3.7,4.2,4.6,4.9,5.2,5.3,5.4,5.4,5.4,5.4,5.4,5.3,5.3,5.2,5.1,5.0
80,Gambia,AF,,,,,,,,,,,,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.6,0.7,0.8,1.0,1.1,1.3,1.5,1.7,1.4,1.4,1.5
81,Georgia,AS,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2
